Provinsi / Kabupaten / Kota,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2010,2011,2012,,,,
MUARO JAMBI,-,14.29,14.29,,,,
TANJUNG JABUNG TIMUR,-,23.33,23.33,,,,
TANJUNG JABUNG BARAT,-,14.29,14.29,,,,
TEBO,-,14.29,14.71,,,,
BUNGO,-,17.14,17.14,,,,
KOTA JAMBI,-,20,20,,,,
KOTA SUNGAI PENUH,-,-,-,,,,
SUMATERA SELATAN,17.33,20.27,21.33,,,,
OGAN KOMERING ULU,-,11.43,11.43,,,,
OGAN KOMERING ILIR,-,11.11,13.33,,,,
MUARA ENIM,-,6.67,8.89,,,,
LAHAT,-,7.5,10,,,,
MUSI RAWAS,-,10,5,,,,
MUSI BANYUASIN,-,20,20,,,,
BANYU ASIN,-,11.11,11.11,,,,
OGAN KOMERING ULU SELATAN,-,10,10,,,,
OGAN KOMERING ULU TIMUR,-,8.89,8.89,,,,
OGAN ILIR,-,5,5,,,,
EMPAT LAWANG,-,11.43,11.76,,,,
PENUKAL ABAB LEMATANG ILIR,-,4,4,,,,
MUSI RAWAS UTARA,-,8,8,,,,
KOTA PALEMBANG,-,14,14,,,,
KOTA PRABUMULIH,-,12,12,,,,
KOTA PAGAR ALAM,-,16,16,,,,
KOTA LUBUKLINGGAU,-,16.67,20,,,,
BENGKULU,17.78,17.78,15.56,,,,
BENGKULU SELATAN,-,-,-,,,,
REJANG LEBONG,-,16.67,16.67,,,,
BENGKULU UTARA,-,10,10,,,,
KAUR,-,8,12,,,,
SELUMA,-,13.33,10,,,,
MUKOMUKO,-,8,8,,,,
LEBONG,-,28,28,,,,
KEPAHIANG,-,20,20,,,,
BENGKULU TENGAH,-,16,20,,,,
KOTA BENGKULU,-,25.71,25.71,,,,
LAMPUNG,13.1,14.12,14.12,,,,
LAMPUNG BARAT,-,9.09,11.76,,,,
TANGGAMUS,-,20,20,,,,
LAMPUNG SELATAN,-,10,10,,,,
LAMPUNG TIMUR,-,10,10,,,,
LAMPUNG TENGAH,-,6,4,,,,
LAMPUNG UTARA,-,8.89,8.89,,,,
WAY KANAN,-,17.5,15,,,,
TULANGBAWANG,-,16.67,15.56,,,,
PESAWARAN,-,22.73,17.78,,,,
PRINGSEWU,-,25,25,,,,
MESUJI,-,14.29,14.29,,,,
TULANGBAWANG BARAT,-,13.33,10,,,,
PESISIR BARAT,-,20,12,,,,
KOTA BANDAR LAMPUNG,-,12,12,,,,
KOTA METRO,-,32,32,,,,
KEP. BANGKA BELITUNG,4.44,6.67,4.44,,,,
BANGKA,-,14.29,14.29,,,,
BELITUNG,-,-,4,,,,
BANGKA BARAT,-,8,4,,,,
BANGKA TENGAH,-,12,12,,,,
BANGKA SELATAN,-,8,8,,,,
BELITUNG TIMUR,-,20,20,,,,
KOTA PANGKAL PINANG,-,6.67,6.67,,,,
KEP. RIAU,16.28,17.78,17.78,,,,
KARIMUN,-,10,10,,,,
BINTAN,-,16,16.67,,,,
NATUNA,-,5,5,,,,
LINGGA,-,5,5,,,,
KEPULAUAN ANAMBAS,-,10,10,,,,
KOTA BATAM,-,6,6,,,,
KOTA TANJUNG PINANG,-,26.67,24.14,,,,
DKI JAKARTA,18.87,18.87,19.81,,,,
KEPULAUAN SERIBU,-,18.87,19.81,,,,
KODYA JAKARTA SELATAN,-,18.87,19.81,,,,
KODYA JAKARTA TIMUR,-,18.87,19.81,,,,
KODYA JAKARTA PUSAT,-,18.87,19.81,,,,
KODYA JAKARTA BARAT,-,18.87,19.81,,,,
KODYA JAKARTA UTARA,-,18.87,19.81,,,,
JAWA BARAT,24,22,22,,,,
BOGOR,-,12,12,,,,
SUKABUMI,-,12,12,,,,
CIANJUR,-,18,24,,,,
BANDUNG,-,28,22,,,,
GARUT,-,16,16,,,,
TASIKMALAYA,-,16,16,,,,
CIAMIS,-,10,10,,,,
KUNINGAN,-,26,26,,,,
CIREBON,-,30,26,,,,
MAJALENGKA,-,14,16,,,,
SUMEDANG,-,18,18,,,,
INDRAMAYU,-,22,22,,,,
SUBANG,-,16,20,,,,
PURWAKARTA,-,24.44,24.44,,,,
KARAWANG,-,20,20,,,,
BEKASI,-,12,12,,,,
BANDUNG BARAT,-,6,12,,,,
PANGANDARAN,-,14.29,17.14,,,,
KOTA BOGOR,-,17.78,11.11,,,,
KOTA SUKABUMI,-,14.29,14.29,,,,
KOTA BANDUNG,-,6,10,,,,
KOTA CIREBON,-,23.53,22.86,,,,
KOTA BEKASI,-,16,16,,,,
KOTA DEPOK,-,38,38,,,,
KOTA CIMAHI,-,31.11,31.11,,,,
KOTA TASIKMALAYA,-,11.11,11.11,,,,
KOTA BANJAR,-,4,8,,,,
JAWA TENGAH,24,24,22,,,,
CILACAP,-,18,16,,,,
BANYUMAS,-,18,18,,,,
PURBALINGGA,-,26.67,31.11,,,,
BANJARNEGARA,-,17.78,17.78,,,,
KEBUMEN,-,28,24,,,,
PURWOREJO,-,17.78,20,,,,
WONOSOBO,-,6.67,6.67,,,,
MAGELANG,-,8,16,,,,
BOYOLALI,-,11.11,11.11,,,,
KLATEN,-,6,6,,,,
SUKOHARJO,-,20,20,,,,
WONOGIRI,-,8.89,8.89,,,,
KARANGANYAR,-,22.22,28.89,,,,
SRAGEN,-,8.89,8.89,,,,
GROBOGAN,-,12,12,,,,
BLORA,-,17.78,17.78,,,,
REMBANG,-,22.22,22.22,,,,
PATI,-,18,16,,,,
KUDUS,-,6.67,6.67,,,,
JEPARA,-,6,8,,,,
DEMAK,-,14,16,,,,
SEMARANG,-,20,22.22,,,,
TEMANGGUNG,-,31.11,31.11,,,,
KENDAL,-,22.73,24.44,,,,
BATANG,-,20,20,,,,
PEKALONGAN,-,24.44,31.11,,,,
PEMALANG,-,18,16,,,,
TEGAL,-,20,20,,,,
BREBES,-,16,16,,,,
KOTA MAGELANG,-,20,20,,,,
KOTA SURAKARTA,-,20,20,,,,
KOTA SALATIGA,-,28,29.17,,,,
KOTA SEMARANG,-,22,22,,,,
KOTA PEKALONGAN,-,16.67,20,,,,
KOTA TEGAL,-,33.33,36.67,,,,
DI YOGYAKARTA,10.91,12.73,12.73,,,,
KULON PROGO,-,17.5,17.5,,,,
BANTUL,-,6.67,6.67,,,,
GUNUNG KIDUL,-,15.56,13.33,,,,
SLEMAN,-,26,24,,,,
KOTA YOGYAKARTA,-,22.5,25,,,,
JAWA TIMUR,15,15,15,,,,
PACITAN,-,15,15,,,,
PONOROGO,-,11.36,15.56,,,,
TRENGGALEK,-,11.11,11.11,,,,
TULUNGAGUNG,-,10,10,,,,
BLITAR,-,22,22,,,,
KEDIRI,-,26,26,,,,
MALANG,-,20,22,,,,
LUMAJANG,-,18,18,,,,
JEMBER,-,20,22,,,,
BANYUWANGI,-,20,20,,,,
BONDOWOSO,-,4.44,6.67,,,,
SITUBONDO,-,22.22,24.44,,,,
PROBOLINGGO,-,24.44,24.44,,,,
PASURUAN,-,12,12,,,,
SIDOARJO,-,14,14,,,,
MOJOKERTO,-,24,26,,,,
JOMBANG,-,22,22,,,,
NGANJUK,-,22.22,20,,,,
MADIUN,-,11.11,11.11,,,,
MAGETAN,-,6.67,6.67,,,,
NGAWI,-,20,22.22,,,,
BOJONEGORO,-,14,12,,,,
TUBAN,-,12,18.37,,,,
LAMONGAN,-,18,18,,,,
GRESIK,-,12,14,,,,
BANGKALAN,-,-,-,,,,
SAMPANG,-,2.22,2.22,,,,
PAMEKASAN,-,6.67,6.67,,,,
SUMENEP,-,6,4,,,,
KOTA KEDIRI,-,33.33,33.33,,,,
KOTA BLITAR,-,12,12,,,,
KOTA MALANG,-,17.78,17.78,,,,
KOTA PROBOLINGGO,-,16.67,16.67,,,,
KOTA PASURUAN,-,10,10,,,,
KOTA MOJOKERTO,-,32,32,,,,
KOTA MADIUN,-,33.33,33.33,,,,
KOTA SURABAYA,-,34,34,,,,
KOTA BATU,-,24,24,,,,
BANTEN,18.82,20,23.53,,,,
PANDEGLANG,-,12,12,,,,
LEBAK,-,14,12,,,,
TANGERANG,-,14,16,,,,
SERANG,-,14,18,,,,
KOTA TANGERANG,-,20,20,,,,
KOTA CILEGON,-,14.29,17.14,,,,
KOTA SERANG,-,15.56,15.56,,,,
KOTA TANGERANG SELATAN,-,24,26,,,,
BALI,9.09,9.09,9.09,,,,
JEMBRANA,-,11.43,11.43,,,,
TABANAN,-,7.5,7.5,,,,
BADUNG,-,7.5,7.5,,,,
GIANYAR,-,7.5,7.5,,,,
KLUNGKUNG,-,16.67,13.33,,,,
BANGLI,-,6.67,6.67,,,,
KARANG ASEM,-,4.44,4.44,,,,
BULELENG,-,13.33,11.11,,,,
KOTA DENPASAR,-,2.22,2.22,,,,
NUSA TENGGARA BARAT,9.38,9.23,9.23,,,,
LOMBOK BARAT,-,15.56,13.33,,,,
LOMBOK TENGAH,-,8,8,,,,
LOMBOK TIMUR,-,6,6,,,,
SUMBAWA,-,2.22,2.22,,,,
DOMPU,-,10,10,,,,
BIMA,-,15.22,15.22,,,,
SUMBAWA BARAT,-,-,-,,,,
LOMBOK UTARA,-,6.67,6.67,,,,
KOTA MATARAM,-,12.5,12.5,,,,
KOTA BIMA,-,12,12,,,,
NUSA TENGGARA TIMUR,10.77,9.23,10.77,,,,
SUMBA BARAT,-,16,16,,,,
SUMBA TIMUR,-,6.67,6.67,,,,
KUPANG,-,14.29,14.29,,,,
TIMOR TENGAH SELATAN,-,12.5,12.5,,,,
TIMOR TENGAH UTARA,-,6.67,6.67,,,,
BELU,-,36.67,36.67,,,,
ALOR,-,6.67,6.67,,,,
LEMBATA,-,-,-,,,,
FLORES TIMUR,-,-,-,,,,
SIKKA,-,8.57,8.57,,,,
ENDE,-,3.33,3.33,,,,
NGADA,-,16,16,,,,
MANGGARAI,-,11.43,11.43,,,,
ROTE NDAO,-,4,4,,,,
MANGGARAI BARAT,-,2.5,3.33,,,,
SUMBA TENGAH,-,-,-,,,,
SUMBA BARAT DAYA,-,-,-,,,,
NAGEKEO,-,-,-,,,,
MANGGARAI TIMUR,-,3.33,3.33,,,,
SABU RAIJUA,-,5,5,,,,
MALAKA,-,20,20,,,,
KOTA KUPANG,-,12.5,12.5,,,,
KALIMANTAN BARAT,10.77,10.77,10.77,,,,
SAMBAS,-,15.56,15.56,,,,
BENGKAYANG,-,10,10,,,,
LANDAK,-,11.11,11.11,,,,
PONTIANAK,-,10,10,,,,
SANGGAU,-,10,10,,,,
KETAPANG,-,13.33,13.33,,,,
SINTANG,-,11.43,11.43,,,,
KAPUAS HULU,-,15,15,,,,
SEKADAU,-,3.33,3.33,,,,
MELAWI,-,5.71,5.71,,,,
KAYONG UTARA,-,3.33,3.33,,,,
KUBU RAYA,-,10,10,,,,
KOTA PONTIANAK,-,8.89,8.89,,,,
KOTA SINGKAWANG,-,8,8,,,,
KALIMANTAN TENGAH,26.67,28.89,24.44,,,,
KOTAWARINGIN BARAT,-,16.67,13.33,,,,
KOTAWARINGIN TIMUR,-,20,20,,,,
KAPUAS,-,25,30.77,,,,
BARITO SELATAN,-,36,36,,,,
BARITO UTARA,-,36,32,,,,
SUKAMARA,-,20,25,,,,
LAMANDAU,-,5,5,,,,
SERUYAN,-,20,20,,,,
KATINGAN,-,16,24,,,,
PULANG PISAU,-,28,36,,,,
GUNUNG MAS,-,28,28,,,,
BARITO TIMUR,-,20,20,,,,
MURUNG RAYA,-,16,16,,,,
KOTA PALANGKA RAYA,-,33.33,33.33,,,,
KALIMANTAN SELATAN,12.7,12.73,16.36,,,,
TANAH LAUT,-,17.14,17.14,,,,
KOTA BARU,-,22.86,22.86,,,,
BANJAR,-,24.44,24.44,,,,
BARITO KUALA,-,17.14,17.14,,,,
TAPIN,-,16,16,,,,
HULU SUNGAI SELATAN,-,13.33,13.33,,,,
HULU SUNGAI TENGAH,-,23.33,23.33,,,,
HULU SUNGAI UTARA,-,16.67,16.67,,,,
TABALONG,-,23.33,23.33,,,,
TANAH BUMBU,-,5.71,5.71,,,,
BALANGAN,-,12,12,,,,
KOTA BANJARMASIN,-,17.78,17.78,,,,
KOTA BANJAR BARU,-,23.33,23.33,,,,
KALIMANTAN TIMUR,10.91,10.91,10.91,,,,
PASIR,-,16.67,16.67,,,,
KUTAI BARAT,-,16.67,16,,,,
KUTAI KARTANEGARA,-,8.89,8.89,,,,
KUTAI TIMUR,-,15,15,,,,
BERAU,-,10,10,,,,
MALINAU,-,-,-,,,,
BULUNGAN,-,-,-,,,,
NUNUKAN,-,-,-,,,,
PENAJAM PASER UTARA,-,4,4,,,,
TANA TIDUNG,-,-,-,,,,
MAHAKAM ULU,-,30,30,,,,
KOTA BALIKPAPAN,-,17.78,17.78,,,,
KOTA SAMARINDA,-,20.45,20,,,,
KOTA TARAKAN,-,-,-,,,,
KOTA BONTANG,-,8,8,,,,
KALIMANTAN UTARA,14.29,11.43,20,,,,
MALINAU,-,15,15,,,,
BULONGAN,-,4,4,,,,
TANA TIDUNG,-,10,10,,,,
NUNUKAN,-,20,20,,,,
KOTA TARAKAN,-,4,4,,,,
SULAWESI UTARA,37.78,38.64,33.33,,,,
BOLAANG MONGONDOW,-,20.69,23.33,,,,
MINAHASA,-,31.43,31.43,,,,
KEPULAUAN SANGIHE,-,25,16,,,,
KEPULAUAN TALAUD,-,5,10,,,,
MINAHASA SELATAN,-,26.67,31.03,,,,
MINAHASA UTARA,-,26.67,25,,,,
BOLAANG MONGONDOW UTARA,-,15,15,,,,
SIAU TAGULANDANG BIARO,-,35,35,,,,
MINAHASA TENGGARA,-,32,32,,,,
BOLAANG MONGONDOW SELATAN,-,20,20,,,,
BOLAANG MONGONDOW TIMUR,-,20,20,,,,
KOTA MANADO,-,32.5,37.14,,,,
KOTA BITUNG,-,30,26.67,,,,
KOTA TOMOHON,-,40,40,,,,
KOTA KOTAMOBAGU,-,12,24,,,,
SULAWESI TENGAH,20,20,24.44,,,,
BANGGAI KEPULAUAN,-,12,16,,,,
BANGGAI,-,23.53,22.86,,,,
MOROWALI,-,16,16,,,,
POSO,-,16.67,13.33,,,,
DONGGALA,-,6.67,6.67,,,,
TOLI-TOLI,-,23.33,23.33,,,,
BUOL,-,24,20,,,,
PARIGI MOUTONG,-,10,10,,,,
TOJO UNA-UNA,-,8,8,,,,
SIGI,-,10,6.9,,,,
BANGGAI LAUT,-,5,5,,,,
MOROWALI UTARA,-,20,16,,,,
KOTA PALU,-,14.29,14.29,,,,
SULAWESI SELATAN,21.18,21.18,19.05,,,,
KEPULAUAN SELAYAR,-,16,16,,,,
BULUKUMBA,-,17.5,17.5,,,,
BANTAENG,-,32,33.33,,,,
JENEPONTO,-,20,25,,,,
TAKALAR,-,26.67,30,,,,
GOWA,-,17.78,8.89,,,,
SINJAI,-,26.67,23.33,,,,
MAROS,-,20,20,,,,
PANGKAJENE DAN KEPULAUAN,-,8.57,8.57,,,,
BARRU,-,24,28,,,,
BONE,-,13.33,13.33,,,,
SOPPENG,-,20,26.67,,,,
WAJO,-,17.5,17.5,,,,
SIDENRENG RAPPANG,-,2.86,5.71,,,,
PINRANG,-,7.5,10,,,,
ENREKANG,-,6.67,6.67,,,,
LUWU,-,8.57,11.43,,,,
TANA TORAJA,-,20,20,,,,
LUWU UTARA,-,5.71,5.71,,,,
LUWU TIMUR,-,3.33,3.33,,,,
TORAJA UTARA,-,5.71,5.71,,,,
KOTA MAKASSAR,-,16,14,,,,
KOTA PARE-PARE,-,12,16,,,,
KOTA PALOPO,-,20,24,,,,
SULAWESI TENGGARA,17.78,17.78,18.18,,,,
BUTON,-,28,28,,,,
MUNA,-,10,10,,,,
KONAWE,-,26.67,23.33,,,,
KOLAKA,-,13.33,13.33,,,,
KONAWE SELATAN,-,37.14,40,,,,
BOMBANA,-,8,8.33,,,,
WAKATOBI,-,20,24,,,,
KOLAKA UTARA,-,4,-,,,,
BUTON UTARA,-,15,15,,,,
KONAWE UTARA,-,15,25,,,,
KOLAKA TIMUR,-,12,12,,,,
KONAWE KEPULAUAN,-,10,9.52,,,,
MUNA BARAT,-,10,10,,,,
BUTON TENGAH,-,12,12,,,,
BUTON SELATAN,-,15,10,,,,
KOTA KENDARI,-,40,34.29,,,,
KOTA BAU-BAU,-,20,20,,,,
GORONTALO,28.89,29.55,28.89,,,,
BOALEMO,-,20,16,,,,
GORONTALO,-,22.86,22.86,,,,
POHUWATO,-,20,20,,,,
BONE BOLANGO,-,4,4,,,,
GORONTALO UTARA,-,16,20,,,,
KOTA GORONTALO,-,24,20.83,,,,
SULAWESI BARAT,17.78,20,17.78,,,,
MAJENE,-,20,20,,,,
POLEWALI MANDAR,-,20,22.22,,,,
MAMASA,-,6.67,6.67,,,,
MAMUJU,-,17.14,14.29,,,,
MAMUJU UTARA,-,10,10,,,,
MAMUJU TENGAH,-,20,20,,,,
MALUKU,26.67,28.89,26.67,,,,
MALUKU TENGGARA BARAT,-,16.67,12,,,,
MALUKU TENGGARA,-,8,8,,,,
MALUKU TENGAH,-,7.5,7.5,,,,
BURU,-,12,16,,,,
KEPULAUAN ARU,-,4,8,,,,
SERAM BAGIAN BARAT,-,6.67,10,,,,
SERAM BAGIAN TIMUR,-,8,8,,,,
MALUKU BARAT DAYA,-,-,-,,,,
BURU SELATAN,-,5,5,,,,
KOTA AMBON,-,11.43,14.71,,,,
KOTA TUAL,-,5,-,,,,
MALUKU UTARA,16.28,17.78,20.45,,,,
HALMAHERA BARAT,-,20,16,,,,
HALMAHERA TENGAH,-,5,5,,,,
KEPULAUAN SULA,-,4,4.35,,,,
HALMAHERA SELATAN,-,-,-,,,,
HALMAHERA UTARA,-,20,20,,,,
HALMAHERA TIMUR,-,5,5,,,,
PULAU MOROTAI,-,10,10,,,,
PULAU TALIABU,-,25,25,,,,
KOTA TERNATE,-,16.67,16.67,,,,
KOTA TIDORE KEPULAUAN,-,16,16,,,,
PAPUA BARAT,4.44,3.57,5.36,,,,
FAKFAK,-,20,20,,,,
KAIMANA,-,25,20,,,,
TELUK WONDAMA,-,10,10,,,,
TELUK BINTUNI,-,5,20,,,,
MANOKWARI,-,20,20,,,,
SORONG SELATAN,-,15,15,,,,
SORONG,-,12,12,,,,
RAJA AMPAT,-,35,35,,,,
TAMBRAUW,-,10,10,,,,
MAYBRAT,-,5,5,,,,
MANOKWARI SELATAN,-,35,35,,,,
PEGUNUNGAN ARFAK,-,15,20,,,,
KOTA SORONG,-,13.33,13.33,,,,
PAPUA,12.73,10.61,16.36,,,,
MERAUKE,-,20.69,20.69,,,,
JAYAWIJAYA,-,10,10,,,,
JAYAPURA,-,8,8,,,,
NABIRE,-,21.74,20,,,,
KEPULAUAN YAPEN,-,-,4,,,,
BIAK NUMFOR,-,16,16,,,,
PANIAI,-,4,-,,,,
PUNCAK JAYA,-,3.33,6.67,,,,
MIMIKA,-,2.86,2.86,,,,
BOVEN DIGOEL,-,-,10,,,,
MAPPI,-,8,12,,,,
ASMAT,-,4,4,,,,
YAHUKIMO,-,2.86,5.71,,,,
PEGUNUNGAN BINTANG,-,4,4,,,,
TOLIKARA,-,3.33,6.67,,,,
SARMI,-,10,10,,,,
KEEROM,-,10,5,,,,
WAROPEN,-,5,15,,,,
SUPIORI,-,15,15,,,,
MAMBERAMO RAYA,-,-,15,,,,
NDUGA,-,8,8,,,,
LANNY JAYA,-,8,8,,,,
MAMBERAMO TENGAH,-,10,10,,,,
YALIMO,-,5,10,,,,
PUNCAK,-,-,-,,,,
DOGIYAI,-,5,15,,,,
INTAN JAYA,-,-,-,,,,
DEIYAI,-,-,-,,,,
KOTA JAYAPURA,-,25,30,,,,
INDONESIA,17.32,17.32,17.32,,,,



Provinsi / Kabupaten / Kota,,,,,,,
,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2019,2020,2021,,,,
ACEH,11.11,11.11,11.11,,,,
SIMEULUE,20,20,20,,,,
ACEH SINGKIL,12,12,12,,,,
ACEH SELATAN,10,10,10,,,,
ACEH TENGGARA,10,10,10,,,,
ACEH TIMUR,7.5,7.5,7.5,,,,
ACEH TENGAH,13.33,16.67,16.67,,,,
ACEH BARAT,8,8,8,,,,
ACEH BESAR,2.86,2.86,2.86,,,,
PIDIE,17.5,17.5,17.5,,,,
BIREUEN,7.5,7.5,7.5,,,,
ACEH UTARA,2.22,2.22,2.22,,,,
ACEH BARAT DAYA,4,4,4,,,,
GAYO LUES,5,5,5,,,,
ACEH TAMIANG,36.67,36.67,36.67,,,,
NAGAN RAYA,16,16,16,,,,
ACEH JAYA,5,5,5,,,,
BENER MERIAH,4,4,4,,,,
PIDIE JAYA,4,4,4,,,,
KOTA BANDA ACEH,13.33,13.33,13.33,,,,
KOTA SABANG,25,25,25,,,,
KOTA LANGSA,20,20,20,,,,
KOTA LHOKSEUMAWE,16,16,16,,,,
KOTA SUBULUSSALAM,15,15,15,,,,
SUMATERA UTARA,13,13,13.13,,,,
NIAS,8,8,8,,,,
MANDAILING NATAL,15,15,15,,,,
TAPANULI SELATAN,11.43,11.43,11.43,,,,
TAPANULI TENGAH,5.71,17.14,17.14,,,,
TAPANULI UTARA,5.71,8.57,8.82,,,,
TOBA SAMOSIR,3.33,3.33,3.33,,,,
LABUHAN BATU,20,20,20,,,,
ASAHAN,24.44,22.22,22.22,,,,
SIMALUNGUN,10,8,8,,,,
DAIRI,5.71,5.71,5.71,,,,
KARO,20,22.86,28.57,,,,
DELI SERDANG,6,6,6,,,,
LANGKAT,16,16,16,,,,
NIAS SELATAN,17.14,17.14,17.14,,,,
HUMBANG HASUNDUTAN,16,16,16,,,,
PAKPAK BHARAT,10,10,10,,,,
SAMOSIR,24,24,24,,,,
SERDANG BEDAGAI,15.56,15.56,15.56,,,,
BATU BARA,8.57,8.82,8.82,,,,
PADANG LAWAS UTARA,10,10,10,,,,
PADANG LAWAS,3.33,3.33,3.33,,,,
LABUHAN BATU SELATAN,8.57,11.43,14.29,,,,
LABUHAN BATU UTARA,2.86,3.03,2.86,,,,
NIAS UTARA,12,12,12,,,,
NIAS BARAT,10,10,10,,,,
KOTA SIBOLGA,25,25,25,,,,
KOTA TANJUNG BALAI,16,20,20,,,,
KOTA PEMATANG SIANTAR,10,10,10,,,,
KOTA TEBING TINGGI,4,4,4,,,,
KOTA MEDAN,12,12,12,,,,
KOTA BINJAI,16.67,16.67,16.67,,,,
KOTA PADANGSIDIMPUAN,16.67,16.67,16.67,,,,
KOTA GUNUNGSITOLI,12,12,8.33,,,,
SUMATERA BARAT,4.62,4.62,10.77,,,,
KEPULAUAN MENTAWAI,0.01,-,-,,,,
PESISIR SELATAN,6.67,6.67,6.67,,,,
SOLOK,8.57,8.57,8.57,,,,
SIJUNJUNG,13.33,13.33,13.33,,,,
TANAH DATAR,8.57,8.57,8.57,,,,
PADANG PARIAMAN,0.01,-,-,,,,
AGAM,8.89,8.89,8.89,,,,
LIMA PULUH KOTA,5.71,5.71,5.71,,,,
PASAMAN,8.57,8.57,8.57,,,,
SOLOK SELATAN,0.01,-,-,,,,
DHARMAS RAYA,6.67,6.67,6.67,,,,
PASAMAN BARAT,7.5,7.5,7.5,,,,
KOTA PADANG,13.33,13.33,11.11,,,,
KOTA SOLOK,5,5,10,,,,
KOTA SAWAH LUNTO,20,20,20,,,,
KOTA PADANG PANJANG,10,10,10,,,,
KOTA BUKITTINGGI,8,8,8,,,,
KOTA PAYAKUMBUH,12,16,16,,,,
KOTA PARIAMAN,5.56,5,5,,,,
RIAU,18.46,18.46,21.54,,,,
KUANTAN SINGINGI,2.86,2.86,2.94,,,,
INDRAGIRI HULU,2.5,2.5,2.5,,,,
INDRAGIRI HILIR,13.33,13.33,13.33,,,,
PELALAWAN,0.01,2.86,2.86,,,,
SIAK,2.5,2.5,2.5,,,,
KAMPAR,8.89,8.89,8.89,,,,
ROKAN HULU,4.44,4.44,4.44,,,,
BENGKALIS,8.89,8.89,8.89,,,,
ROKAN HILIR,17.78,17.78,17.78,,,,
KEPULAUAN MERANTI,13.33,13.33,13.33,,,,
KOTA PEKANBARU,17.78,20,20,,,,
KOTA DUMAI,10,6.67,6.9,,,,
JAMBI,14.55,14.55,14.55,,,,
KERINCI,3.33,3.33,3.33,,,,
MERANGIN,0.01,-,2.86,,,,
SAROLANGUN,8.57,8.57,8.57,,,,
BATANG HARI,22.86,22.86,20,,,,
MUARO JAMBI,8.57,8.57,8.57,,,,
TANJUNG JABUNG TIMUR,26.67,26.67,26.67,,,,
TANJUNG JABUNG BARAT,20,20,25.71,,,,
TEBO,2.86,2.86,2.86,,,,
BUNGO,14.29,14.29,14.29,,,,
KOTA JAMBI,17.78,17.78,17.78,,,,
KOTA SUNGAI PENUH,0.01,-,-,,,,
SUMATERA SELATAN,21.33,21.62,21.33,,,,
OGAN KOMERING ULU,5.71,5.71,5.71,,,,
OGAN KOMERING ILIR,15.56,15.56,15.56,,,,
MUARA ENIM,17.78,15.56,17.78,,,,
LAHAT,15,15,15,,,,
MUSI RAWAS,12.5,12.5,17.5,,,,
MUSI BANYUASIN,6.67,6.67,6.67,,,,
BANYU ASIN,11.11,11.11,11.11,,,,
OGAN KOMERING ULU SELATAN,12.5,10,12.5,,,,
OGAN KOMERING ULU TIMUR,8.89,8.89,8.89,,,,
OGAN ILIR,15,15,15,,,,
EMPAT LAWANG,8.57,8.57,8.57,,,,
PENUKAL ABAB LEMATANG ILIR,0.01,-,-,,,,
MUSI RAWAS UTARA,4,4,4,,,,
KOTA PALEMBANG,8,8,8,,,,
KOTA PRABUMULIH,16,16,16,,,,
KOTA PAGAR ALAM,16,16,16,,,,
KOTA LUBUKLINGGAU,10,13.33,14.29,,,,
BENGKULU,15.56,16.28,15.91,,,,
BENGKULU SELATAN,0.01,-,-,,,,
REJANG LEBONG,20,20,20,,,,
BENGKULU UTARA,10,6.67,6.67,,,,
KAUR,8,8,8,,,,
SELUMA,13.33,13.33,10,,,,
MUKOMUKO,4,4,4,,,,
LEBONG,12,16,16,,,,
KEPAHIANG,12,12,12.5,,,,
BENGKULU TENGAH,24,24,24,,,,
KOTA BENGKULU,25.71,25.71,25.71,,,,
LAMPUNG,20,20,18.82,,,,
LAMPUNG BARAT,17.14,17.14,17.14,,,,
TANGGAMUS,6.67,6.67,6.67,,,,
LAMPUNG SELATAN,10,10.2,10,,,,
LAMPUNG TIMUR,12,12,12,,,,
LAMPUNG TENGAH,12,12,12,,,,
LAMPUNG UTARA,13.33,13.33,13.33,,,,
WAY KANAN,10,10,10,,,,
TULANGBAWANG,20,20,20,,,,
PESAWARAN,24.44,24.44,26.67,,,,
PRINGSEWU,30,30,27.5,,,,
MESUJI,22.86,22.86,22.86,,,,
TULANGBAWANG BARAT,3.33,3.33,3.33,,,,
PESISIR BARAT,4,4,4,,,,
KOTA BANDAR LAMPUNG,22,22,22,,,,
KOTA METRO,28,28,24,,,,
KEP. BANGKA BELITUNG,4.44,4.44,8.89,,,,
BANGKA,17.14,17.14,14.29,,,,
BELITUNG,8,8,8,,,,
BANGKA BARAT,16,16,16,,,,
BANGKA TENGAH,12,12,12,,,,
BANGKA SELATAN,8,8,8,,,,
BELITUNG TIMUR,8,8,8,,,,
KOTA PANGKAL PINANG,10,10,10,,,,
KEP. RIAU,11.11,11.11,8.89,,,,
KARIMUN,16.67,16.67,16.67,,,,
BINTAN,24,24,28,,,,
NATUNA,0.01,-,-,,,,
LINGGA,5,5,5,,,,
KEPULAUAN ANAMBAS,10,15,20,,,,
KOTA BATAM,8,8,8,,,,
KOTA TANJUNG PINANG,36.67,36.67,36.67,,,,
DKI JAKARTA,21.7,21.7,21.7,,,,
KEPULAUAN SERIBU,21.7,21.7,21.7,,,,
KODYA JAKARTA SELATAN,21.7,21.7,21.7,,,,
KODYA JAKARTA TIMUR,21.7,21.7,21.7,,,,
KODYA JAKARTA PUSAT,21.7,21.7,21.7,,,,
